Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
archibiodesign.org,archibiodesign.org,http://www.archibiodesign.org,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
pattinaggioaltichiero.com,pattinaggioaltichiero.com,http://pattinaggioaltichiero.com,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
tralaltro.it,tralaltro.it,https://www.tralaltro.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
calciovenetofd.it,calciovenetofd.it,http://www.calciovenetofd.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
asgard.forumfree.it,forumfree.it,https://asgard.forumfree.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
benvenutocellini.it,benvenutocellini.it,http://www.benvenutocellini.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
auser.padova.it,auser.padova.it,http://auser.padova.it,True,True,http://www.auser.veneto.it/provinciale_padova/index.html,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
madreterraitalia.it,madreterraitalia.it,http://www.madreterraitalia.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
abgec.it,abgec.it,http://www.abgec.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
ghostshockey.it,ghostshockey.it,http://www.ghostshockey.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
asiveneto.it,asiveneto.it,http://www.asiveneto.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
bluvolleypadova.com,bluvolleypadova.com,https://www.bluvolleypadova.com,True,False,,True,True,False,False,False,False,False,False,True,"max-age=31536000; includeSubDomains; preload, max-age=31536000; includeSubDomains; preload",31536000,True,True,False,False,False,True,True,True,False
bashu.org,bashu.org,http://bashu.org,True,True,http://bashucrea.ning.com/,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
centroartemusicamoderna.it,centroartemusicamoderna.it,http://www.centroartemusicamoderna.it,True,True,https://www.cammmusicinstitute.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
campeggioclubpadova.com,campeggioclubpadova.com,http://campeggioclubpadova.com,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
cantieridottobre.com,cantieridottobre.com,http://cantieridottobre.com,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
capoeira-angola-pd.it,capoeira-angola-pd.it,http://www.capoeira-angola-pd.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
ceavonlus.org,ceavonlus.org,http://www.ceavonlus.org,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cameraminorilepadova.it,cameraminorilepadova.it,http://www.cameraminorilepadova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
carichisospesi.com,carichisospesi.com,http://www.carichisospesi.com,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
auser.veneto.it/provinciale_padova/,it/provinciale_padova/,http://auser.veneto.it/provinciale_padova/,True,True,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
