Domain,Base Domain,Live,MX Record,Mail Servers,Mail Server Ports Tested,Domain Supports SMTP,Domain Supports SMTP Results,Domain Supports STARTTLS,Domain Supports STARTTLS Results,SPF Record,Valid SPF,SPF Results,DMARC Record,Valid DMARC,DMARC Results,DMARC Record on Base Domain,Valid DMARC Record on Base Domain,DMARC Results on Base Domain,DMARC Policy,DMARC Policy Percentage,DMARC Aggregate Report URIs,DMARC Forensic Report URIs,DMARC Has Aggregate Report URI,DMARC Has Forensic Report URI,Syntax Errors,Debug Info
progettogiovani.pd.it,progettogiovani.pd.it,True,False,,,False,,False,,True,True,v=spf1 include:musvc.com ~all,False,False,,False,False,,,,,,False,False,,[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: progettogiovani.pd.it. IN MX
babeleanordest.com,babeleanordest.com,True,False,,,False,,False,,False,False,,False,False,,False,False,,,,,,False,False,,"[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: babeleanordest.com. IN MX, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: babeleanordest.com. IN TXT, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: babeleanordest.com. IN TXT, [DMARC] In dmarc_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:552: The DNS response does not contain an answer to the question: _dmarc.babeleanordest.com. IN TXT"
multimedia.padovanet.it,padovanet.it,True,False,,,False,,False,,False,False,,False,False,,False,False,,,,,,False,False,,"[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: multimedia.padovanet.it. IN MX, [DMARC] In dmarc_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:552: None of DNS query names exist: _dmarc.multimedia.padovanet.it., _dmarc.multimedia.padovanet.it."
babeleanordest.it,babeleanordest.it,True,False,,,False,,False,,False,False,,False,False,,False,False,,,,,,False,False,,"[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: babeleanordest.it. IN MX, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: babeleanordest.it. IN TXT, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: babeleanordest.it. IN TXT, [DMARC] In dmarc_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:552: The DNS response does not contain an answer to the question: _dmarc.babeleanordest.it. IN TXT"
universidiversi.it,universidiversi.it,True,False,,,False,,False,,False,False,,False,False,,False,False,,,,,,False,False,,"[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: universidiversi.it. IN MX, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: universidiversi.it. IN TXT, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: universidiversi.it. IN TXT, [DMARC] In dmarc_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:552: The DNS response does not contain an answer to the question: _dmarc.universidiversi.it. IN TXT"
estatecarrarese.it,estatecarrarese.it,True,False,,,False,,False,,False,False,,False,False,,False,False,,,,,,False,False,,"[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: estatecarrarese.it. IN MX, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: estatecarrarese.it. IN TXT, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: estatecarrarese.it. IN TXT, [DMARC] In dmarc_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:552: The DNS response does not contain an answer to the question: _dmarc.estatecarrarese.it. IN TXT"
altinatesangaetano.it,altinatesangaetano.it,True,False,,,False,,False,,False,False,,False,False,,False,False,,,,,,False,False,,[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: altinatesangaetano.it. IN MX
discoverpadova.eu,discoverpadova.eu,True,False,,,False,,False,,False,False,,False,False,,False,False,,,,,,False,False,,"[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: discoverpadova.eu. IN MX, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: discoverpadova.eu. IN TXT, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: discoverpadova.eu. IN TXT, [DMARC] In dmarc_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:552: The DNS response does not contain an answer to the question: _dmarc.discoverpadova.eu. IN TXT"
padova.cittadiniattivi.net,cittadiniattivi.net,True,False,,,False,,False,,False,False,,False,False,,False,False,,,,,,False,False,,"[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: padova.cittadiniattivi.net. IN MX, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: padova.cittadiniattivi.net. IN TXT, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: padova.cittadiniattivi.net. IN TXT, [DMARC] In dmarc_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:552: None of DNS query names exist: _dmarc.padova.cittadiniattivi.net., _dmarc.padova.cittadiniattivi.net."
babeleanordest.com,babeleanordest.com,True,False,,,False,,False,,False,False,,False,False,,False,False,,,,,,False,False,,"[MX] In mx_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:69: The DNS response does not contain an answer to the question: babeleanordest.com. IN MX, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: babeleanordest.com. IN TXT, [SPF] In get_spf_record_text at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:291: The DNS response does not contain an answer to the question: babeleanordest.com. IN TXT, [DMARC] In dmarc_scan at /home/rampazzo/.local/lib/python3.6/site-packages/trustymail/trustymail.py:552: The DNS response does not contain an answer to the question: _dmarc.babeleanordest.com. IN TXT"
